,BusID:ID,Primary voltage rating (kV):double,Secondary voltage rating (kV):double,kVA rating (kVA):double, %R:double, %X:double,Previous Bus:int,X:double,Y:double,Year:int,Month:int,Day:int,Hour:int,CurrVal:double,PrevNode Val:double,PrevVal:double
0,T_1003,13.8,0.208,112.5,2.43,3.87,1002,8.9,13.36,0,0,0,0,0,0,0
1,T_1004,13.8,0.208,75.0,2.27,1.91,1002,7.77,14.11,0,0,0,0,0,0,0
2,T_1005,13.8,0.208,75.0,2.27,1.91,1004,6.4,14.11,0,0,0,0,0,0,0
3,T_1008,13.8,0.208,45.0,2.52,1.73,1006,3.71,14.11,0,0,0,0,0,0,0
4,T_1009,13.8,0.208,75.0,2.27,1.91,1008,2.4,14.11,0,0,0,0,0,0,0
5,T_1010,13.8,0.208,45.0,2.52,1.73,1009,1.4,14.11,0,0,0,0,0,0,0
6,T_1013,13.8,0.208,45.0,2.52,1.73,1012,2.4,11.23,0,0,0,0,0,0,0
7,T_2002,13.8,0.208,300.0,1.8,4.5,2001,9.56,7.58,0,0,0,0,0,0,0
8,T_2003,13.8,0.208,75.0,2.27,1.91,2002,8.3,7.58,0,0,0,0,0,0,0
9,T_2005,13.8,0.208,45.0,2.52,1.73,2004,5.77,7.58,0,0,0,0,0,0,0
10,T_2010,13.8,0.208,45.0,2.52,1.73,2006,3.68,7.58,0,0,0,0,0,0,0
11,T_2011,13.8,0.208,45.0,2.52,1.73,2010,2.71,7.58,0,0,0,0,0,0,0
12,T_2029,13.8,0.208,75.0,2.27,1.91,2028,5.58,5.31,0,0,0,0,0,0,0
13,T_2030,13.8,0.208,75.0,2.27,1.91,2029,5.58,4.73,0,0,0,0,0,0,0
14,T_2032,13.8,0.208,45.0,2.52,1.73,2027,6.61,6.45,0,0,0,0,0,0,0
15,T_2034,13.8,0.208,45.0,2.52,1.73,2033,7.6,5.79,0,0,0,0,0,0,0
16,T_2035,13.8,0.208,75.0,2.27,1.91,2033,8.46,6.44,0,0,0,0,0,0,0
17,T_2037,13.8,0.208,45.0,2.52,1.73,2036,10.21,6.45,0,0,0,0,0,0,0
18,T_2040,13.8,0.208,300.0,1.8,4.5,2039,11.07,4.98,0,0,0,0,0,0,0
19,T_2041,13.8,0.208,45.0,2.52,1.73,2040,11.88,4.98,0,0,0,0,0,0,0
20,T_2042,13.8,0.208,75.0,2.27,1.91,2039,10.21,4.39,0,0,0,0,0,0,0
21,T_2043,13.8,0.208,75.0,2.27,1.91,2042,10.21,3.63,0,0,0,0,0,0,0
22,T_2052,13.8,0.208,225.0,2.2,4.65,2051,6.16,2.81,0,0,0,0,0,0,0
23,T_2053,13.8,0.208,225.0,2.2,4.65,2044,8.76,2.1,0,0,0,0,0,0,0
24,T_2058,13.8,0.208,300.0,1.8,4.5,2057,9.9,1.4,0,0,0,0,0,0,0
25,T_3002,13.8,0.208,45.0,2.52,1.73,3003,12.5,12.16,0,0,0,0,0,0,0
26,T_3004,13.8,0.208,45.0,2.52,1.73,3003,12.5,13.43,0,0,0,0,0,0,0
27,T_3006,13.8,0.208,45.0,2.52,1.73,3005,13.36,13.91,0,0,0,0,0,0,0
28,T_3007,13.8,0.208,75.0,2.27,1.91,3006,13.36,14.71,0,0,0,0,0,0,0
29,T_3031,13.8,0.208,45.0,2.52,1.73,3030,18.26,10.91,0,0,0,0,0,0,0
30,T_3032,13.8,0.208,45.0,2.52,1.73,3031,18.26,10.4,0,0,0,0,0,0,0
31,T_3033,13.8,0.208,45.0,2.52,1.73,3032,18.26,9.9,0,0,0,0,0,0,0
32,T_3034,13.8,0.208,45.0,2.52,1.73,3033,18.26,9.39,0,0,0,0,0,0,0
33,T_3035,13.8,0.208,45.0,2.52,1.73,3030,18.25,12.05,0,0,0,0,0,0,0
34,T_3036,13.8,0.208,45.0,2.52,1.73,3035,18.27,12.68,0,0,0,0,0,0,0
35,T_3037,13.8,0.208,45.0,2.52,1.73,3036,18.25,13.32,0,0,0,0,0,0,0
36,T_3038,13.8,0.208,45.0,2.52,1.73,3037,18.25,13.95,0,0,0,0,0,0,0
37,T_3039,13.8,0.208,45.0,2.52,1.73,3038,18.26,14.59,0,0,0,0,0,0,0
38,T_3047,13.8,0.208,45.0,2.52,1.73,3046,20.88,12.16,0,0,0,0,0,0,0
39,T_3048,13.8,0.208,45.0,2.52,1.73,3046,21.17,10.92,0,0,0,0,0,0,0
40,T_3049,13.8,0.208,45.0,2.52,1.73,3048,22.0,10.92,0,0,0,0,0,0,0
41,T_3050,13.8,0.208,45.0,2.52,1.73,3049,22.82,10.92,0,0,0,0,0,0,0
42,T_3051,13.8,0.208,45.0,2.52,1.73,3050,23.64,10.92,0,0,0,0,0,0,0
43,T_3052,13.8,0.208,45.0,2.52,1.73,3051,24.46,10.91,0,0,0,0,0,0,0
44,T_3054,13.8,0.208,45.0,2.52,1.73,3053,19.51,14.19,0,0,0,0,0,0,0
45,T_3070,13.8,0.208,45.0,2.52,1.73,3069,16.65,8.27,0,0,0,0,0,0,0
46,T_3071,13.8,0.208,45.0,2.52,1.73,3070,16.65,7.71,0,0,0,0,0,0,0
47,T_3072,13.8,0.208,45.0,2.52,1.73,3071,16.65,7.16,0,0,0,0,0,0,0
48,T_3073,13.8,0.208,45.0,2.52,1.73,3069,15.76,8.82,0,0,0,0,0,0,0
49,T_3074,13.8,0.208,45.0,2.52,1.73,3073,14.98,8.82,0,0,0,0,0,0,0
50,T_3077,13.8,0.208,500.0,1.6,5.9,3076,20.73,8.82,0,0,0,0,0,0,0
51,T_3078,13.8,0.208,45.0,2.52,1.73,3077,21.49,8.82,0,0,0,0,0,0,0
52,T_3081,13.8,0.208,45.0,2.52,1.73,3080,19.21,7.42,0,0,0,0,0,0,0
